id,struttura,sede,categoria,vecchio_verdict,preliminary_verdict,nuovo_verdict,sito,identity_status,crawl_complete,pagine,documento,compagnia,numero_polizza,motivazione,score,errori,legacy_class,origin,reviewer,reviewed_at,entity_correct,website_correct,identity_correct,document_belongs_to_entity,verdict_correct,commercial_value_real,false_positive,false_negative,critical_contamination,notes
cmqpetmyq00aw109jbzulaaqo,Rsa Don Loria,Oppido Mamertina (Veneto),,PUBLISHED,REVIEW,PUBLISHED,https://www.loria.it/,INSUFFICIENT,false,0,,,,[V:PUB] Polizza trovata su portale regionale/ASL; sito web non raggiungibile. [Portale istituzionale: https://www.chiarini.com/assicurazione-struttura-sanitaria-medico-legge-gelli-bianco] Assicurazione Struttura Sanitaria e Medico nella Legge Gelli - Avv. Lucia Spadoni. # L’assic,,,PUBLICATION_CONFIRMED,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmqphtshy00dq109j9x72fjeo,Policlinico Abano,Montegrotto Terme (Veneto),,PUBLISHED,REVIEW,PUBLISHED,https://policlinicoabano.it/,OFFICIAL_CONFIRMED,false,159,policy_signal,Generali,,"[V:PUB] Polizza RC certificata in sezione Amministrazione Trasparente (HTML). i chirurgici, salvo eventuali franchigie previste dalla tua polizza.""})]})]})}),(0,a.jsx)(""div"",{className:""group block rounded-2xl p-5 shadow-sm backdrop-blur-sm transition-shadow duration-200 hover:sh",,,PUBLICATION_CONFIRMED,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmqp8yjt80064109jrmjaswxx,Farra di Soligo,Farra di Soligo (Veneto),,REVIEW,REVIEW,PUBLISHED,https://www.comune.farradisoligo.tv.it/novita,OFFICIAL_CONFIRMED,false,31,policy_signal,Generali,,"[V:PUB] Polizza RC certificata in sezione Amministrazione Trasparente (HTML). [EV_V:2 VD_V:2 LEGACY:CURRENT] [IDENTITY:OFFICIAL_CONFIRMED] [CRAWL_COMPLETE:false] — [FONTI: sito web (31 pagine, sezione Trasparenza letta: /novita, /it/documenti) · fonte polizza HTML: https://www.co",,,,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmqpavuzs007d109jxy32i5w3,La clinica del benessere,Garda (Veneto),,HOT,REVIEW,REVIEW,https://laclinicadelbenessere.com/,OFFICIAL_CONFIRMED,true,157,,,,"[V:REV] Portale regionale/ASL: possibile polizza ma PDF RC non sul sito — verifica manuale. [Portale istituzionale: https://clinicalpractice.it/blog/post/obblighi-assicurativi-dei-medici-breve-vademecum] 24/2017, nota come Legge Gelli-Bianco, introduce l'obbligo assicurativo per ",,,LIKELY_PREVIOUS_FALSE_POSITIVE,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmqpapjep007a109jpepx2v6s,Centro Medico Antares S.R.L.,Concamarise (Veneto),,HOT,REVIEW,REVIEW,https://www.centromedicoantares.it/contatti/,OFFICIAL_CONFIRMED,false,18,,,,[V:REV] Crawl incompleto: coda HTML non esaurita; sitemap NOT_DISCOVERED; 1 URL rilevanti falliti; JSON non tutti processati; script same-host non tutti processati; link rilevanti non tutti processati. Sito: polizza non pubblicata in Trasparenza. Portali ASL/regionali: confermata,,,POSSIBLE_NEW_FALSE_NEGATIVE,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmqpfotfl00br109jsb2cetfr,Centro Medico Diagnostico - Diagnostica 53 srl,Meduna di Livenza (Veneto),,HOT,REVIEW,REVIEW,http://www.diagnostica53.it/,MISMATCH,false,113,,,,[V:REV] Contaminazione critica identità: Città sul sito (Venezia) diversa da Meduna di Livenza — omonimia o URL errato. Riferimenti assicurativi su pagina web ma PDF polizza RC non individuato — verifica manuale. [EV_V:2 VD_V:2 LEGACY:CURRENT] [IDENTITY:MISMATCH] [CRAWL_COMPLETE:,,,IDENTITY_PROBLEM,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmqpkikci00fc109j604w0twf,Casa di Cura Villa Serena,Palermo (Veneto),,HOT,REVIEW,REVIEW,http://www.casadicuraserena.it/,OFFICIAL_CONFIRMED,false,192,,,,"[V:REV] Crawl incompleto: 40 URL rilevanti falliti. Sito: polizza non pubblicata in Trasparenza. Portali ASL/regionali: confermata assenza pubblicazione. [EV_V:2 VD_V:2 LEGACY:CURRENT] [IDENTITY:OFFICIAL_CONFIRMED] [CRAWL_COMPLETE:false] — [FONTI: sito web (192 pagine, sezione Tr",,,POSSIBLE_NEW_FALSE_NEGATIVE,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmqpcm3um0090109jzu9xg1gq,Poliambulatorio Ecomedico Tomasella,Tombolo (Veneto),,HOT,REVIEW,REVIEW,http://www.ecomedicotomasella.com/,MISMATCH,false,70,,,,[V:REV] Portale regionale/ASL: possibile polizza ma PDF RC non sul sito — verifica manuale. [Portale istituzionale: https://www.mioassicuratore.it/approfondimenti/rc-professionale/legge-gelli-bianco-medici-sanitari-2026] # Legge Gelli-Bianco: Cosa Cambia per Medici e Sanitari. La,,,IDENTITY_PROBLEM,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmqpgf39300db109ju8060ufy,Poliambulatorio Ss. Trinità - Sede di Malo,Schio (Veneto),,PUBLISHED,REVIEW,REVIEW,http://www.poliambulatorioschio.it/,OFFICIAL_CONFIRMED,false,380,,,,"[V:REV] Crawl incompleto: 40 URL rilevanti falliti. Sito: polizza non pubblicata in Trasparenza. Portali ASL/regionali: confermata assenza pubblicazione. [EV_V:2 VD_V:2 LEGACY:CURRENT] [IDENTITY:OFFICIAL_CONFIRMED] [CRAWL_COMPLETE:false] — [FONTI: sito web (380 pagine: /, /note-l",,,POSSIBLE_NEW_FALSE_NEGATIVE,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmqpnlxik00hd109jnewbykj4,Centro Diagnostico Terapeutico Sacro Cuore,Pressana (Veneto),,PUBLISHED,REVIEW,REVIEW,https://www.sacrocuore.it/centro-servizi-diagnosi-e-cura-verona/centro-diagnostico-terapeutico-sacro-cuore/,MISMATCH,false,356,,,,"[V:REV] Contaminazione critica identità: Città sul sito (Milano) diversa da Pressana — omonimia o URL errato. Polizza RC certificata da PDF: https://www.sacrocuore.it/wp-content/uploads/2024/05/Evento5giugno_Verona_GranGuardia.pdf EDESCO, FRANCESCO RIZZOLO 16.10 Aspetti medico le",,,IDENTITY_PROBLEM,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
