leadId,companyName,region,city,category,sito_storico,sito_nuovo,identity,verdict_storico,nuovo_risultato,compagnia,numero_polizza,decorrenza,scadenza,massimale,documento,link,estratto,fonte,conflitti,errori,motivazione,content_hash,reviewer,reviewed_at,entity_correct,website_correct,document_correct,dates_correct,verdict_correct,false_positive,false_negative,notes
cmqohi45d005baa3va7wu05x5,Casa di cura Villa Sandra,Campania,Monteverde,Casa di cura,http://www.casadicuravillasandraconvenzionataconserviziosanitario.roma.it/,http://www.casadicuravillasandraconvenzionataconserviziosanitario.roma.it/,PENDING_HUMAN,PUBLISHED,EVIDENCE_NOT_REPRODUCIBLE,AmTrust,IITPMM1900103,,,,http://www.casadicuravillasandraconvenzionataconserviziosanitario.roma.it/wp-content/uploads/2025/05/PARS_2025_C.d.C_Villa_Sandra-1.pdf,http://www.casadicuravillasandraconvenzionataconserviziosanitario.roma.it/wp-content/uploads/2025/05/PARS_2025_C.d.C_Villa_Sandra-1.pdf,"[V:PUB] Polizza RC certificata in sezione Amministrazione Trasparente (HTML). -2015Certificato Numero: IT335322Versione: 1 29-Agosto-2024 Polizza Assicurativa Stipulata con AmTrust International Underwriters DAC Numero Polizza IITPMM1900103 Contatti e-Mail Via Portuense, 79800148, Roma (RM)Italia Tel: (+39) 06-655951 — [DOCS: http://www.casadicuravillasandraconvenzionataconserviziosanitario.roma.i",snapshot+fetch,,,EVIDENCE_NOT_REPRODUCIBLE,3e98663c638fa60e85a101ceae9d55d3b832d5cd91898bd7f051984c7ec31acd,,,,,,,,,,
cmqo1yoi90015aa3vnmnnek03,Centro Fisioterapia S.R.L.,Campania,Cercola,Centro di riabilitazione,http://www.centrodifisioterapiacercola.it/,http://www.centrodifisioterapiacercola.it/,PENDING_HUMAN,PUBLISHED,EVIDENCE_NOT_REPRODUCIBLE,Zurich,533A5871,,1808870400000,,http://www.centrodifisioterapiacercola.it/documenti/polizza.pdf,http://www.centrodifisioterapiacercola.it/documenti/polizza.pdf,"[V:PUB] Polizza RC certificata da PDF: http://www.centrodifisioterapiacercola.it/documenti/polizza.pdf aente Partita Iva CENTRO DI FISIOTERAPIA S.R.L. 04615880632 Polizza Vincolo Indicizzazione 533A5871 No No Premio Imponibile Imposte Premio Totale Lordo 569,99 € 126,83 € 696,82 € Contributo Fondo anti-racket: 5,70 € ------------------------ — [DOCS: http://www.centrodifisioterapiacercola.it/docum",snapshot+fetch,,,EVIDENCE_NOT_REPRODUCIBLE,03b00701c4542629ff87c2b4d7a70c6f15051c32f9ca0c4a1e75adf52ac23ba3,,,,,,,,,,
cmqn3iyjo00061272bi8z4fmv,Villa Del Sole,Campania,Valva,Casa di cura,http://villadelsole.org/,http://villadelsole.org/,PENDING_HUMAN,PUBLISHED,EVIDENCE_NOT_REPRODUCIBLE,Autoassicurazione / gestione diretta del rischio,,,,,http://villadelsole.org/wp-content/uploads/2025/04/PARS-2025.pdf,http://villadelsole.org/wp-content/uploads/2025/04/PARS-2025.pdf,[V:PUB] Polizza RC certificata da PDF: http://villadelsole.org/wp-content/uploads/2025/04/PARS-2025.pdf op 2.3 Posizione assicurativa Dal 2018 la Casa di Cura è in autoassicurazione Pag.5all PARS 19/03/2025 Villa del Sole Piano Annuale di Rischio Sanitario 3. Resoconto delle attività del PARS dell’anno 2024 OBIETTIVO A: Diffondere la cultura — [DOCS: http://villadelsole.org/wp-content/uploads/2025,snapshot+fetch,,,EVIDENCE_NOT_REPRODUCIBLE,a8bb10c202f3e8171715f31ab7fa85435abf454a41951441205dd4d074c5238a,,,,,,,,,,
cmqp623mb0003129ithql3226,Villa Ortensia,Campania,Capua,Casa di cura per lungodegenti,http://www.clinicavillaortensia.it/,http://www.clinicavillaortensia.it/,PENDING_HUMAN,PUBLISHED,EVIDENCE_NOT_REPRODUCIBLE,Generali Italia,,,1577750400000,,http://www.clinicavillaortensia.it/,http://www.clinicavillaortensia.it/,"[V:PUB] Polizza RC rilevata in sezione Trasparenza — certificata. evazione 01.01.2019-31.12.2019 Privacy ——————————————————– *COPERTURA ASSICURATIVA: GENERALI ITALIA SPA Le Convenzioni AIOP CAMPANIA CLINICA VILLA ORTENSIA CENTRO MEDICO CALES CLINICA VILLA CINZIA Cerca per: Carta dei Servizi Guida ai Servi — [FONTI: sito web (33 pagine: /, /qualita) · PDF polizza letti 7/7 · Google Maps (sito e tel",snapshot+fetch,,,EVIDENCE_NOT_REPRODUCIBLE,fb3a7e8007eeea121d684dacdeb7197a7ae149bc450b0706b88678c313f8c59f,,,,,,,,,,
cmqp3dyji002y109j668al761,Casa di Cura Privata Citta' di Rovigo,Veneto,Stienta,Clinica medica,http://www.cittadirovigo.it/,http://www.cittadirovigo.it/,PENDING_HUMAN,PUBLISHED,EVIDENCE_NOT_REPRODUCIBLE,Generali Italia,361067102,,,,http://www.cittadirovigo.it/wp-content/uploads/2025/08/Adempimenti-CDR.pdf,http://www.cittadirovigo.it/wp-content/uploads/2025/08/Adempimenti-CDR.pdf,"[V:PUB] Polizza RC certificata da PDF: http://www.cittadirovigo.it/wp-content/uploads/2025/08/Adempimenti-CDR.pdf assicurative o le altre analoghe misure che determinano la copertura assicurativa. Compagnia Assicurativa : GENERALI ITALIA S.P.A. , via Marocchessa n. 14 Mogliano Veneto (TV) Responsabilità Civile Verso Terzi (RCT) Polizza n. 361067102 Ma — [DOCS: http://www.cittadirovigo.it/wp-conten",snapshot+fetch,,,EVIDENCE_NOT_REPRODUCIBLE,1837610334ab47c126be736d83936d19308babad5e606773df6f0c5355715314,,,,,,,,,,
cmqmd9ia000979g5c4fd95cmi,Aias Nola,Campania,Cicciano,Ospedale privato,http://www.aiasnola.org/,http://www.aiasnola.org/,PENDING_HUMAN,PUBLISHED,TECHNICAL_REVALIDATION_REQUIRED,Autoassicurazione / gestione diretta del rischio,420172841,,,,https://www.aiasnola.org/wp-content/uploads/2026/03/piano-annuale-risk-management.pdf,https://www.aiasnola.org/wp-content/uploads/2026/03/piano-annuale-risk-management.pdf,"[V:PUB] Polizza RC certificata da PDF: https://www.aiasnola.org/wp-content/uploads/2026/03/piano-annuale-risk-management.pdf | In ultimo con la Legge n. 24 dell’8 marzo 2017 (cd. Legge Gelli), recante “disposizioni in materia di | sicurezza delle cure e della persona assistita, nonché in materia di responsabilita professionale degli esercenti le | professioni san — [DOCS: https://www.aiasnola.org/",snapshot_only,,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Basic Constraints of CA cert not marked critical (_ssl.c:1028)>,TECHNICAL_REVALIDATION_REQUIRED,,,,,,,,,,,
cmqo5cefd001xaa3v8i0n91fk,Alfa Center Analisi Cliniche Falciano del Massico ( CE ),Campania,Falciano del Massico,Laboratorio medico,http://www.laboratorialfa.it/,http://www.laboratorialfa.it/,PENDING_HUMAN,PUBLISHED,TECHNICAL_REVALIDATION_REQUIRED,Generali,,,1560556800000,,http://www.laboratorialfa.it/,http://www.laboratorialfa.it/,"[V:PUB] Riferimenti assicurativi su pagina web ma PDF polizza RC non individuato — verifica manuale. — [FONTI: sito web (103 pagine: /, /) · PDF polizza letti 0/0 · Google Maps (sito e telefono struttura)] [Verifica: 2026-07-01 02:54]",snapshot_only,,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Basic Constraints of CA cert not marked critical (_ssl.c:1028)>,TECHNICAL_REVALIDATION_REQUIRED,,,,,,,,,,,
cmqo1yoij0018aa3vok66rc4z,C.I.Rad Srl,Campania,Roma,Centro di diagnostica per immagini,https://www.ciradroma.com/,https://www.ciradroma.com/,PENDING_HUMAN,PUBLISHED,TECHNICAL_REVALIDATION_REQUIRED,Sara Assicurazioni,50 39132L,,,,https://www.ciradroma.com/,https://www.ciradroma.com/,"[V:PUB] Riferimenti assicurativi su pagina web ma PDF polizza RC non individuato — verifica manuale. e dei Medici di Roma al num. 0000050380 La struttura ha una Polizza Assicurativa di RC Rischi Diversi con la Compagnia Sara Assicurazioni, contratto n. 50 39132L Copyright © C.I.RAD. Srl Villa Benedetta - Cod. Fis. 06950941002 - Via Cervino — [FONTI: sito web (15 pagine: /, /settore-diagnostico-ter",snapshot_only,,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Basic Constraints of CA cert not marked critical (_ssl.c:1028)>,TECHNICAL_REVALIDATION_REQUIRED,,,,,,,,,,,
cmqmctohb008n9g5cls7429th,CLINICA RUESCH CLINICA PRIVATA,Campania,Succivo,Ospedale privato,http://www.clinicaruesch.it/,http://www.clinicaruesch.it/,PENDING_HUMAN,PUBLISHED,TECHNICAL_REVALIDATION_REQUIRED,Autoassicurazione / gestione diretta del rischio,,,,,https://www.clinicaruesch.it/wp-content/uploads/2026/06/PARM-2025.pdf,https://www.clinicaruesch.it/wp-content/uploads/2026/06/PARM-2025.pdf,"[V:PUB] Polizza RC certificata da PDF: https://www.clinicaruesch.it/wp-content/uploads/2026/06/PARM-2025.pdf vo ai risarcimenti effettivamente erogati, precisando se in copertura assicurativa o in autoassicurazione/auto ritenzione, secondo lo schema della tabella successiva (Tabella 3 - Sinistrosità e risarcimenti erogati nell’ultimo quinquennio). — [DOCS: https://www.clinicaruesch.it/wp-content/u",snapshot_only,,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Basic Constraints of CA cert not marked critical (_ssl.c:1028)>,TECHNICAL_REVALIDATION_REQUIRED,,,,,,,,,,,
cmqn3iyff00021272yesaj5cz,Camaldoli Hospital,Campania,Crispano,Casa di cura,https://www.camaldolihospital.it/,https://www.camaldolihospital.it/,PENDING_HUMAN,PUBLISHED,TECHNICAL_REVALIDATION_REQUIRED,Autoassicurazione / gestione diretta del rischio,,,,,https://www.camaldolihospital.it/wp-content/uploads/2026/03/PARS_-Alma-Mater-Marzo-2026.pdf,https://www.camaldolihospital.it/wp-content/uploads/2026/03/PARS_-Alma-Mater-Marzo-2026.pdf,[V:PUB] Polizza RC certificata da PDF: https://www.camaldolihospital.it/wp-content/uploads/2026/03/PARS_-Alma-Mater-Marzo-2026.pdf ui la struttura è coperta da assicurazione o è in regime di autoassicurazione/auto ritenzione. PARS Camaldoli Hospital Pag. 21 di 25 CN mo Ne PIANO ANNUALE PER LA GESTIONE DEL | SpA Casa di : Cura Camaldoli Camaldoli RISCHIO SANITARIO (PARS — [DOCS: https://www.camaldo,snapshot_only,,<urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Basic Constraints of CA cert not marked critical (_ssl.c:1028)>,TECHNICAL_REVALIDATION_REQUIRED,,,,,,,,,,,
