id,struttura,sede,categoria,vecchio_verdict,preliminary_verdict,nuovo_verdict,sito,identity_status,crawl_complete,pagine,documento,compagnia,numero_polizza,motivazione,score,errori,legacy_class,origin,reviewer,reviewed_at,entity_correct,website_correct,identity_correct,document_belongs_to_entity,verdict_correct,commercial_value_real,false_positive,false_negative,critical_contamination,notes
cmqo8aope002qaa3vugvq0qy3,Studio Ultreia,Frattaminore (Campania),,PUBLISHED,REVIEW,PUBLISHED,http://www.studioultreia.it/,INSUFFICIENT,false,0,,,,[V:PUB] Polizza trovata su portale regionale/ASL; sito web non raggiungibile. [Portale istituzionale: https://clinicalpractice.it/blog/post/obblighi-assicurativi-dei-medici-breve-vademecum] Polizza RC pubblicata sul sito ma scaduta da 3396 giorni. Art. 10 L. 24/2017 richiede pubb,,,PUBLICATION_CONFIRMED,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmqm88tu5000ejc3mmdves99n,Genesis Day Surgery Caserta,Riardo (Campania),,PUBLISHED,REVIEW,PUBLISHED,http://www.iatropolis.it/,OFFICIAL_CONFIRMED,false,3,policy_signal,AmTrust,RCI00010000451,[V:PUB] Polizza RC certificata in sezione Amministrazione Trasparente (HTML). e ai numeri: 0823/325388 - 335/1053833 Assicurazione per la Responsabilità Civile delle Strutture Sanitarie Private sottoscritta con AMTRUST Istituti Clinici con polizza n. RCI00010000451 Informativa su,,,PUBLICATION_CONFIRMED,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmqmc3zd900689g5chgvzf53q,Madera Servizi Sanitari Diagnostici Integrati,Montesarchio (Campania),,REVIEW,REVIEW,PUBLISHED,http://maderaservizisanitari.it/,INSUFFICIENT,false,0,,,,[V:PUB] Polizza trovata su portale regionale/ASL; sito web non raggiungibile. [Portale istituzionale: https://www.mioassicuratore.it/approfondimenti/rc-professionale/legge-gelli-bianco-medici-sanitari-2026] Polizza RC pubblicata sul sito ma scaduta da 3425 giorni. Art. 10 L. 24/2,,,,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmqn0oc2s0007zfo7tgb8ifga,Laboratorio Analisi Cliniche Dr.Ssa Rocco,Baronissi (Campania),,HOT,REVIEW,REVIEW,https://www.analisiclinicherocco.com/,INSUFFICIENT,false,15,,,,[V:REV] Portale regionale/ASL: possibile polizza ma PDF RC non sul sito — verifica manuale. [Portale istituzionale: https://aslsalerno.etrasparenza.it/archiviofile/aslsalerno/utente4557/patologia%20clinica%202022/102700%20Laboratorio%20Analisi%20Rocco%20anno%202022.pdf] Tra le pr,,,POSSIBLE_NEW_FALSE_NEGATIVE,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmql4d392000pc9w7usrn62m5,Casa Anziani Cameo ONLUS Aversa Campania- Gruppo Appartamento,San Cipriano d'Aversa (Campania),,HOT,REVIEW,REVIEW,http://www.coopcameo.it/,INSUFFICIENT,false,41,,,,"[V:REV] Crawl incompleto: 42 URL rilevanti falliti. Sito: polizza non pubblicata in Trasparenza. Portali ASL/regionali: confermata assenza pubblicazione. [EV_V:2 VD_V:2 LEGACY:CURRENT] — [FONTI: sito web (41 pagine: /, /) · PDF polizza letti 0/0 · portali regionali/ASL (7 ricerch",,,POSSIBLE_NEW_FALSE_NEGATIVE,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmqpb2tgb000682aabzqgrr6p,Villa Nonna Carmelina,Tufino (Campania),,HOT,REVIEW,REVIEW,https://www.villanonnacarmelina.it/,INSUFFICIENT,false,33,,,,[V:REV] Portale regionale/ASL: possibile polizza ma PDF RC non sul sito — verifica manuale. [Portale istituzionale: https://ntplusdiritto.ilsole24ore.com/art/gelli-bianchi-requisiti-minimi-garanzia-polizze-assicurative-obbligatorie-AFHDDQ1C] Polizza RC pubblicata sul sito ma scad,,,POSSIBLE_NEW_FALSE_NEGATIVE,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmqobbuxl003eaa3vum7v9l8v,Dott. Abdur Rahman Mohd Ayed,Grottaminarda (Campania),,HOT,REVIEW,REVIEW,http://www.studioagopuntura.net/,OFFICIAL_CONFIRMED,false,22,,,,"[V:REV] Crawl incompleto: 42 URL rilevanti falliti. Sito: polizza non pubblicata in Trasparenza. Portali ASL/regionali: confermata assenza pubblicazione. [EV_V:2 VD_V:2 LEGACY:CURRENT] [IDENTITY:OFFICIAL_CONFIRMED] [CRAWL_COMPLETE:false] — [FONTI: sito web (22 pagine: /, /cart) ·",,,POSSIBLE_NEW_FALSE_NEGATIVE,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmqp6x5he0005qaqsr0d278sm,Villa Sant'antimo,Recale (Campania),,HOT,REVIEW,REVIEW,https://www.villasantantimo.it/,OFFICIAL_CONFIRMED,true,294,,,,[V:REV] Portale regionale/ASL: possibile polizza ma PDF RC non sul sito — verifica manuale. [Portale istituzionale: https://ius.giuffrefl.it/dettaglio/6294423/gli-obblighi-assicurativi-di-strutture-e-professionisti-sanitari-previsti-dallart-10-della-legge-gelli] Polizza RC pubbli,,,LIKELY_PREVIOUS_FALSE_POSITIVE,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmqmano01002n9g5c9h0qjxhl,Villa Fiorita Aversa S.R.L.,Villa Literno (Campania),,HOT,REVIEW,REVIEW,https://clinicavillafiorita.it/,OFFICIAL_CONFIRMED,false,50,,,,"[V:REV] Portale regionale/ASL: possibile polizza ma PDF RC non sul sito — verifica manuale. [Portale istituzionale: https://ntplusdiritto.ilsole24ore.com/art/gelli-bianchi-requisiti-minimi-garanzia-polizze-assicurative-obbligatorie-AFHDDQ1C] # Gelli-Bianchi, i requisiti minimi di",,,POSSIBLE_NEW_FALSE_NEGATIVE,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
cmqp623lx0001129ik68clq1n,Casa di Cura Nostra Signora di Lourdes,Massa di Somma (Campania),,HOT,REVIEW,REVIEW,http://www.clinicalourdes.it/,OFFICIAL_CONFIRMED,false,328,,,,[V:REV] Portale regionale/ASL: possibile polizza ma PDF RC non sul sito — verifica manuale. [Portale istituzionale: https://www.mioassicuratore.it/approfondimenti/rc-professionale/legge-gelli-bianco-medici-sanitari-2026] # Legge Gelli-Bianco: Cosa Cambia per Medici e Sanitari. La,,,POSSIBLE_NEW_FALSE_NEGATIVE,IMMUTABLE_PRODUCTION_SNAPSHOT,,,,,,,,,,,,
