leadId,companyName,region,city,category,website,verdict,evidenceExcerpt,reviewer,reviewed_at,notes
cmqoe7vwm0046aa3v2yc4t4fq,AlvaMed Maiori,Campania,Maiori,Clinica di fisioterapia,,REVIEW,[V:REV] Sito ufficiale non individuato automaticamente — impossibile certificare assenza polizza. Verifica manuale obbligatoria (es. Google). Ricerca su portali regionali/ASL eseguita: nessun documento trovato. Art. 10 Gelli: polizza non risulta pubblicata sulle fonti istituzionali consultate. — [FONTI: portali regionali/ASL (7 ricerche) · Google Maps (sito e telefono struttura)] [Verifica: 2026-0,,,
cmqp8n8nd000cctpn2wjgdqsx,Ambulatorio medico,Campania,Serramezzana,Ambulatorio medico,,REVIEW,[V:REV] Sito ufficiale non individuato automaticamente — impossibile certificare assenza polizza. Verifica manuale obbligatoria (es. Google). Ricerca su portali regionali/ASL eseguita: nessun documento trovato. Art. 10 Gelli: polizza non risulta pubblicata sulle fonti istituzionali consultate. — [FONTI: portali regionali/ASL (7 ricerche) · Google Maps (sito e telefono struttura) · ricerca Google s,,,
cmqoarapr0035aa3vs6pnv9k5,Analisi Cliniche Biocentro,Campania,Giffoni Valle Piana,Laboratorio medico,,REVIEW,[V:REV] Sito ufficiale non individuato automaticamente — impossibile certificare assenza polizza. Verifica manuale obbligatoria (es. Google). Ricerca su portali regionali/ASL eseguita: nessun documento trovato. Art. 10 Gelli: polizza non risulta pubblicata sulle fonti istituzionali consultate. — [FONTI: portali regionali/ASL (7 ricerche) · Google Maps (sito e telefono struttura)] [Verifica: 2026-0,,,
cmqn40opd0007kwqddg6ki67s,Ars Medica,Campania,Casavatore,Clinica medica,,REVIEW,[V:REV] Sito ufficiale non individuato automaticamente — impossibile certificare assenza polizza. Verifica manuale obbligatoria (es. Google). Ricerca su portali regionali/ASL eseguita: nessun documento trovato. Art. 10 Gelli: polizza non risulta pubblicata sulle fonti istituzionali consultate. — [FONTI: portali regionali/ASL (7 ricerche) · Google Maps (sito e telefono struttura) · ricerca Google s,,,
cmqmano06002o9g5c92otzw06,Biocentro Analisi Cliniche Sas,Campania,Bellona,Laboratorio medico,,REVIEW,[V:REV] Sito ufficiale non individuato automaticamente — impossibile certificare assenza polizza. Verifica manuale obbligatoria (es. Google). Ricerca su portali regionali/ASL eseguita: nessun documento trovato. Art. 10 Gelli: polizza non risulta pubblicata sulle fonti istituzionali consultate. — [FONTI: portali regionali/ASL (7 ricerche) · Google Maps (sito e telefono struttura)] [Verifica: 2026-0,,,
cmqp2i3940001jtawi02143tu,Borgo Sociale di Roccabascerana - Casa Alloggio per persone con disagio psichico,Campania,Roccabascerana,Centro di riabilitazione,,REVIEW,[V:REV] Sito ufficiale non individuato automaticamente — impossibile certificare assenza polizza. Verifica manuale obbligatoria (es. Google). Ricerca su portali regionali/ASL eseguita: nessun documento trovato. Art. 10 Gelli: polizza non risulta pubblicata sulle fonti istituzionali consultate. — [FONTI: portali regionali/ASL (7 ricerche) · Google Maps (sito e telefono struttura)] [Verifica: 2026-0,,,
cmqodd3dw003yaa3vid7mbdu1,C.D.A. srl - Centro Diagnostico Abatese,Campania,Sant'Antonio Abate,Laboratorio medico,,REVIEW,[V:REV] Sito ufficiale non individuato automaticamente — impossibile certificare assenza polizza. Verifica manuale obbligatoria (es. Google). Ricerca su portali regionali/ASL eseguita: nessun documento trovato. Art. 10 Gelli: polizza non risulta pubblicata sulle fonti istituzionali consultate. — [FONTI: portali regionali/ASL (7 ricerche) · Google Maps (sito e telefono struttura)] [Verifica: 2026-0,,,
cmqp7cqzy00091q5bopykvftw,C.D.M. La Casa Di Maria Di Durazzo Giovanni & C. S.A.S.,Campania,Pimonte,Ospedale privato,,REVIEW,[V:REV] Sito ufficiale non individuato automaticamente — impossibile certificare assenza polizza. Verifica manuale obbligatoria (es. Google). Ricerca su portali regionali/ASL eseguita: nessun documento trovato. Art. 10 Gelli: polizza non risulta pubblicata sulle fonti istituzionali consultate. — [FONTI: portali regionali/ASL (7 ricerche) · Google Maps (sito e telefono struttura)] [Verifica: 2026-0,,,
cmqooitwa0069aa3v16pmj4wk,CASA DI CURA POLISPECIALISTICA,Campania,Ottaviano,casa di cura,,REVIEW,[V:REV] Sito ufficiale non individuato automaticamente — impossibile certificare assenza polizza. Verifica manuale obbligatoria (es. Google). Ricerca su portali regionali/ASL eseguita: nessun documento trovato. Art. 10 Gelli: polizza non risulta pubblicata sulle fonti istituzionali consultate. — [FONTI: portali regionali/ASL (7 ricerche) · Google Maps (sito e telefono struttura)] [Verifica: 2026-0,,,
cmqots2v7007qaa3vxjlspf5d,CENTRO MEDICO COMUNALE,Campania,Postiglione,clinica privata,,REVIEW,[V:REV] Sito ufficiale non individuato automaticamente — impossibile certificare assenza polizza. Verifica manuale obbligatoria (es. Google). Ricerca su portali regionali/ASL eseguita: nessun documento trovato. Art. 10 Gelli: polizza non risulta pubblicata sulle fonti istituzionali consultate. — [FONTI: portali regionali/ASL (7 ricerche) · Google Maps (sito e telefono struttura)] [Verifica: 2026-0,,,
cmqn4785w0005fpq8vrx6pihc,CMB Centro Medicina del Benessere,Campania,Caserta,Centro medico,,REVIEW,[V:REV] Sito ufficiale non individuato automaticamente — impossibile certificare assenza polizza. Verifica manuale obbligatoria (es. Google). Ricerca su portali regionali/ASL eseguita: nessun documento trovato. Art. 10 Gelli: polizza non risulta pubblicata sulle fonti istituzionali consultate. — [FONTI: portali regionali/ASL (7 ricerche) · Google Maps (sito e telefono struttura)] [Verifica: 2026-0,,,
cmqmannzt002k9g5ccqinsqdd,Casa Albergo Villa Delle Rose Sas,Campania,Battipaglia,Ospedale privato,,REVIEW,[V:REV] Sito ufficiale non individuato automaticamente — impossibile certificare assenza polizza. Verifica manuale obbligatoria (es. Google). Ricerca su portali regionali/ASL eseguita: nessun documento trovato. Art. 10 Gelli: polizza non risulta pubblicata sulle fonti istituzionali consultate. — [FONTI: portali regionali/ASL (7 ricerche) · Google Maps (sito e telefono struttura)] [Verifica: 2026-0,,,
cmqn478520001fpq85j4fwdbq,Casa Albergo per Anziani Le Ginestre,Campania,Castel di Sasso,Casa di cura,http://www.comune.casteldisasso.ce.it/index.php?action=index&p=243,REVIEW,[V:REV] Sito non crawlable da server; portali ASL consultati — crawl sito necessario per HOT. Ricerca su portali regionali/ASL eseguita: nessun documento trovato. Art. 10 Gelli: polizza non risulta pubblicata sulle fonti istituzionali consultate. — [FONTI: portali regionali/ASL (7 ricerche) · incrocio portale regionale dopo crawl sito · Google Maps (sito e telefono struttura)] [Verifica: 2026-07-0,,,
cmqosc8fc007faa3v7c1xu2rr,Casa Anziani “San Pio”,Campania,Prignano Cilento,Casa di cura,,REVIEW,[V:REV] Sito ufficiale non individuato automaticamente — impossibile certificare assenza polizza. Verifica manuale obbligatoria (es. Google). Ricerca su portali regionali/ASL eseguita: nessun documento trovato. Art. 10 Gelli: polizza non risulta pubblicata sulle fonti istituzionali consultate. — [FONTI: portali regionali/ASL (7 ricerche) · Google Maps (sito e telefono struttura)] [Verifica: 2026-0,,,
cmqmd91b1008x9g5c65uk9quh,Casa Di Cura Meluccio S.R.L.,Campania,Pomigliano d'Arco,Ospedale,https://clinicaios.it/,REVIEW,"[V:REV] PDF polizza su dominio diverso (cardiomedspa.it ≠ clinicaios.it) — polizza non attribuibile al sito della struttura. T (ai sensi dell’art.2 c.5 legge 8 marzo 2017 n. 24, “Legge Gelli”) ANNO 2022 1. GESTIONE DEL RISCHIO CLINICO Il Risk Management in sanità è un processo sistematico, comprendente sia la dimensione clinica che quella gestionale, che impiega — [FONTI: sito web (55 pagine, sezi",,,
cmqo3gqiq001laa3vfgj7jmv7,Casa Di Cura Orizzonti Felici,Campania,Tuoro,Ospedale,,REVIEW,[V:REV] Sito ufficiale non individuato automaticamente — impossibile certificare assenza polizza. Verifica manuale obbligatoria (es. Google). Ricerca su portali regionali/ASL eseguita: nessun documento trovato. Art. 10 Gelli: polizza non risulta pubblicata sulle fonti istituzionali consultate. — [FONTI: portali regionali/ASL (7 ricerche) · Google Maps (sito e telefono struttura)] [Verifica: 2026-0,,,
cmql4d38z000nc9w7u2rj6kee,Casa Di Riposo Sagliano,Campania,Aversa,Clinica medica,,REVIEW,[V:REV] Sito ufficiale non individuato automaticamente — impossibile certificare assenza polizza. Verifica manuale obbligatoria (es. Google). Ricerca su portali regionali/ASL eseguita: nessun documento trovato. Art. 10 Gelli: polizza non risulta pubblicata sulle fonti istituzionali consultate. — [FONTI: portali regionali/ASL (7 ricerche) · Google Maps (sito e telefono struttura)] [Verifica: 2026-0,,,
cmqoaraqc0037aa3vtyn63l3j,Casa Di Riposo Villa Gioia,Campania,Marano di Napoli,Casa di cura,http://residenzavillagioia.com/,REVIEW,[V:REV] Sito non crawlable da server; portali ASL consultati — crawl sito necessario per HOT. Polizza non trovata su portali regionali/ASL consultati. [Riferimento: https://www.casadiriposovillagaia.it] — [FONTI: portali regionali/ASL (7 ricerche: https://www.casadiriposovillagaia.it; https://www.reteimprese.it/case-riposo-istituti-ricovero-anziani/marano-di-napoli/azienda/2789771) · incrocio port,,,
cmqofiagq004naa3v3zh0uc0n,Casa Di Riposo Villa Ionia,Campania,Mugnano di Napoli,Casa di cura,,REVIEW,[V:REV] Sito ufficiale non individuato automaticamente — impossibile certificare assenza polizza. Verifica manuale obbligatoria (es. Google). Ricerca su portali regionali/ASL eseguita: nessun documento trovato. Art. 10 Gelli: polizza non risulta pubblicata sulle fonti istituzionali consultate. — [FONTI: portali regionali/ASL (7 ricerche) · Google Maps (sito e telefono struttura)] [Verifica: 2026-0,,,
cmqpbu1570005nwzfi26ruuti,Casa Famiglia Nonno Enzo,Campania,Maddaloni,Casa di cura,,REVIEW,[V:REV] Sito ufficiale non individuato automaticamente — impossibile certificare assenza polizza. Verifica manuale obbligatoria (es. Google). Ricerca su portali regionali/ASL eseguita: nessun documento trovato. Art. 10 Gelli: polizza non risulta pubblicata sulle fonti istituzionali consultate. — [FONTI: portali regionali/ASL (7 ricerche) · Google Maps (sito e telefono struttura)] [Verifica: 2026-0,,,
cmqpa3ot20008i2pqoxl7mbdh,Casa Residenza San Giorgio,Campania,Airola,Casa di cura,,REVIEW,[V:REV] Sito ufficiale non individuato automaticamente — impossibile certificare assenza polizza. Verifica manuale obbligatoria (es. Google). Ricerca su portali regionali/ASL eseguita: nessun documento trovato. Art. 10 Gelli: polizza non risulta pubblicata sulle fonti istituzionali consultate. — [FONTI: portali regionali/ASL (7 ricerche) · Google Maps (sito e telefono struttura)] [Verifica: 2026-0,,,
cmqpc51qt0005d5jkej25treq,Casa Sollievo- Villa Padre Pio,Campania,Castel Volturno,Clinica medica,,REVIEW,[V:REV] Sito ufficiale non individuato automaticamente — impossibile certificare assenza polizza. Verifica manuale obbligatoria (es. Google). Ricerca su portali regionali/ASL eseguita: nessun documento trovato. Art. 10 Gelli: polizza non risulta pubblicata sulle fonti istituzionali consultate. — [FONTI: portali regionali/ASL (7 ricerche) · Google Maps (sito e telefono struttura)] [Verifica: 2026-0,,,
cmqpauvt50007lysbekwya0kq,Casa Vitiello,Campania,Caserta,Casa di cura,https://www.vitiello.it/,REVIEW,[V:REV] Portale regionale/ASL: possibile polizza ma PDF RC non sul sito — verifica manuale. [Portale istituzionale: https://ntplusdiritto.ilsole24ore.com/art/gelli-bianchi-requisiti-minimi-garanzia-polizze-assicurative-obbligatorie-AFHDDQ1C] Polizza RC pubblicata sul sito ma scaduta da 3378 giorni. Art. 10 L. 24/2017 richiede pubblicazione aggiornata — irregolarità normativa. — [FONTI: sito web (4,,,
cmqovi6xf0080aa3vfmn5u8ck,"Casa alloggio ""Pietralena"" Comunità terapeutica",Campania,Prignano Cilento,Casa di cura,,REVIEW,[V:REV] Sito ufficiale non individuato automaticamente — impossibile certificare assenza polizza. Verifica manuale obbligatoria (es. Google). Ricerca su portali regionali/ASL eseguita: nessun documento trovato. Art. 10 Gelli: polizza non risulta pubblicata sulle fonti istituzionali consultate. — [FONTI: portali regionali/ASL (7 ricerche) · Google Maps (sito e telefono struttura)] [Verifica: 2026-0,,,
cmqp38j5x0009kuhvycny6215,Casa di Cura Spatocco,Campania,Chieti,Casa di cura,https://www.grupposynergo.com/,REVIEW,"[V:REV] Sito blocca IP server (WAF) — frammenti web indicizzati analizzati, polizza RC non trovata. Verifica manuale consigliata sul sito ufficiale. — [FONTI: Google Maps (sito e telefono struttura) · ricerca contatti Tavily: https://www.grupposynergo.com/gruppo-synergo/gestione-del-rischio-clinico] [Verifica: 2026-07-01 05:49]",,,
cmqpc51r60008d5jkb5e89fr1,Casa di Cura Villa San Crescenzo,Campania,Calvizzano,Casa di riposo,,REVIEW,[V:REV] Sito ufficiale non individuato automaticamente — impossibile certificare assenza polizza. Verifica manuale obbligatoria (es. Google). Ricerca su portali regionali/ASL eseguita: nessun documento trovato. Art. 10 Gelli: polizza non risulta pubblicata sulle fonti istituzionali consultate. — [FONTI: portali regionali/ASL (7 ricerche) · Google Maps (sito e telefono struttura)] [Verifica: 2026-0,,,
cmql46eh40002c9w7o5lhsvbb,Casa di Riposo A. Sansone,Campania,Acerno,casa di cura,,REVIEW,[V:REV] Sito ufficiale non individuato automaticamente — impossibile certificare assenza polizza. Verifica manuale obbligatoria (es. Google). Ricerca su portali regionali/ASL eseguita: nessun documento trovato. Art. 10 Gelli: polizza non risulta pubblicata sulle fonti istituzionali consultate. — [FONTI: portali regionali/ASL (7 ricerche) · Google Maps (sito e telefono struttura)] [Verifica: 2026-0,,,
cmqpc51pk0001d5jkje5ylme9,Casa di Riposo Villa Mary,Campania,Castel Volturno,Casa di cura,,REVIEW,[V:REV] Sito ufficiale non individuato automaticamente — impossibile certificare assenza polizza. Verifica manuale obbligatoria (es. Google). Ricerca su portali regionali/ASL eseguita: nessun documento trovato. Art. 10 Gelli: polizza non risulta pubblicata sulle fonti istituzionali consultate. — [FONTI: portali regionali/ASL (7 ricerche) · Google Maps (sito e telefono struttura)] [Verifica: 2026-0,,,
cmqp8n8ls0001ctpn2devl6d1,Casa di cura per anziani Primavera,Campania,Scafati,casa di cura,http://www.coopmartinitt.it/,REVIEW,"[V:REV] Impossibile certificare assenza polizza: sezione Trasparenza/polizza non trovata; crawl incompleto (0/0 PDF); Contenuti tipici di hotel/turismo — sito non sanitario (URL Maps errato). — [FONTI: sito web (33 pagine: /, /1) · PDF polizza letti 0/0 · Google Maps (sito e telefono struttura)] [Verifica: 2026-07-01 06:36]",,,
cmqo74ryn002iaa3v05mvc7mn,Celzi,Campania,Forino,Casa di cura,https://www.celzi.com/,REVIEW,[V:REV] Impossibile certificare assenza polizza: sezione Trasparenza/polizza non trovata; crawl incompleto (0/0 PDF); Nome struttura assente nel sito analizzato — probabile sito errato (omonimia Maps). — [FONTI: sito web (1 pagina: /) · PDF polizza letti 0/0 · Google Maps (sito e telefono struttura)] [Verifica: 2026-07-01 08:20],,,
